convo_id,user,line_id,line,K1,K2,K3,K4,K5,K6,K7,K8,primary,secondary
conv1,P5,1002,打個首通沒想到打這麼久還有傻逼能讓我牙起來,0,0,0,1,0,0,0,0,K4,
conv1,P15,1003,報告 我不是那個傻逼,0,0,0,0,1,0,0,0,K5,
conv1,P5,1004,反正我開始登記阿,0,0,0,1,0,0,0,0,K4,
conv1,P5,1005,超過3次我直接給你飛了,0,0,0,1,0,0,0,0,K4,
conv1,P15,1006,我沒有,0,0,0,1,0,0,0,0,K4,
conv1,P9,1007,我沒有,0,0,0,1,0,0,0,0,K4,
conv1,P6,1008,我沒有,0,0,0,1,0,0,0,0,K4,
conv1,P5,1009,你最好都別有 不然我一樣優了,0,0,0,1,0,0,0,0,K4,
conv1,P2,1010,歡迎,0,0,0,0,0,0,1,0,K7,
conv1,P9,1011,我可以當背後那個嗎,0,0,0,1,0,0,0,0,K4,
conv1,R1,1012,明天沒緝盜喔,0,1,0,0,0,0,0,0,K2,
conv1,R1,1013,我要去監考,0,0,0,1,0,0,0,0,K4,
conv1,P6,1014,太強了赤語媽,0,0,0,0,0,0,0,1,K8,
conv1,R1,1015,蛤 為啥,1,0,0,0,0,0,0,0,K1,
conv1,P6,1016,沒有我就亂打字,0,0,0,1,0,0,0,0,K4,
conv1,R1,1017,6,0,0,0,0,0,0,0,1,K8,
conv1,P14,1018,當掉,0,0,0,0,0,0,0,1,K8,
conv1,P6,1019,幹,0,0,0,0,0,0,0,1,K8,
conv1,P14,1020,不是去監考你，別緊張,0,0,0,0,1,0,0,0,K5,
conv1,P15,1021,講得很像他有資格可以考試一樣,0,0,0,0,0,0,0,1,K8,
conv1,P6,1022,幹嘛阿,1,0,0,0,0,0,0,0,K1,
conv1,P2,1023,好好哦 有實力 又是TA,0,1,0,0,0,0,0,0,K2,
conv1,P2,1024,姨生我夢,0,0,0,1,0,0,0,0,K4,
conv1,P18,1025,？,0,0,0,0,1,0,0,0,K5,
conv1,P4,1026,逐鹿萌新求帶,0,0,0,0,0,0,0,1,K8,
conv1,P9,1027,逐鹿萌新求帶,0,0,0,0,0,0,0,1,K8,
conv1,P3,1028,逐鹿萌新求帶,0,0,0,0,0,0,0,1,K8,
conv1,P15,1029,這裡真的好奇怪,0,0,0,0,0,0,0,1,K8,
conv1,P15,1030,喔 對了,0,0,0,0,0,0,0,1,K8,
conv1,P15,1031,這裡D一個今晚8點一起打六人本跟劍夢,0,0,1,0,0,0,0,0,K3,
conv1,P15,1032,有笨逼指揮跟爆氣海中生物,0,0,0,0,0,0,0,1,K8,
conv1,P15,1033,"""雨繧（鹹魚秒傷19九靈）"" 嗨",0,0,0,0,0,0,0,1,K8,
conv1,R1,1034,監考到一半發現一堆人在逐鹿萌新求帶,0,0,0,0,0,0,0,1,K8,
conv1,P15,1035,"""赤语"" 包被",0,0,0,0,0,0,0,1,K8,
conv1,P15,1036,想我了嗎,0,0,0,1,0,0,0,0,K4,
conv1,R1,1037,想你了 但我現在更想睡覺,0,1,0,0,0,0,0,0,K2,
conv1,P15,1038,睡覺是誰,1,0,0,0,0,0,0,0,K1,
conv1,P15,1039,我殺了他,0,0,0,1,0,0,0,0,K4,
conv1,R1,1040,這群人拉長考試時間害我不能早點下課吃飯,0,0,0,1,0,0,0,0,K4,
conv1,P15,1041,跟他們說,0,0,0,0,0,0,0,1,K8,
conv1,R1,1042,反正已經很慘了,0,0,0,0,0,0,0,1,K8,
conv1,R1,1043,死當好像有點不太人道,0,0,0,0,0,0,0,1,K8,
conv1,R1,1044,他們期中可是只有20個人及格,0,1,0,0,0,0,0,0,K2,
conv1,R1,1045,本來70幾個人結果期中太慘直接停修4-5個,0,1,0,0,0,0,0,0,K2,
conv1,P15,1046,注意看 這個女人太狠了,0,0,0,0,0,0,0,1,K8,
conv1,R1,1047,欸他們考卷都空白 我是要怎麼救,1,0,0,0,0,0,0,0,K1,
conv1,P15,1048,注意看 這群學生要岩壁了,0,0,0,0,0,0,0,1,K8,
conv1,P15,1049,"""男大""",0,0,0,0,0,0,1,0,K7,
conv1,R1,1050,確實,0,0,0,0,0,0,0,1,K8,
conv1,P4,1051,注意看 這個女人太狠了,0,0,0,0,0,0,0,1,K8,
conv1,P8,1052,我也想睡覺,0,0,0,1,0,0,0,0,K4,
conv1,P15,1053,來我被窩裡跟貓睡,0,0,0,1,0,0,0,0,K4,
conv1,P8,1054,你為什麼沒上班,1,0,0,0,0,0,0,0,K1,
conv1,P15,1055,我早就在當社畜了,0,1,0,1,0,0,0,0,K4,K2
conv1,P15,1056,不然怎麼會是跟貓睡,1,0,0,0,0,0,0,0,K1,
conv1,P8,1057,我以為你還在被子裡,0,0,0,1,0,0,0,0,K4,
conv1,P9,1058,來我被窩裡跟我睡（？,1,0,0,0,0,0,0,0,K1,
conv1,P9,1059,（我要被踢了,0,0,0,1,0,0,0,0,K4,
conv1,P8,1060,黃牌,0,0,0,0,0,0,0,1,K8,
conv1,P8,1061,喔不對你有西風舞那你紅牌,0,0,0,0,1,0,0,0,K5,
conv1,P8,1062,"""天女蕊"" 快看看這個人",0,0,0,0,1,0,0,0,K5,
conv1,P9,1063,他在忙 不可以吵她（噓,0,0,0,0,0,0,0,1,K8,
conv1,P8,1064,那你更渣了,0,0,0,0,0,0,0,1,K8,
conv1,P15,1065,"""天女蕊"" 姊姊 你還要這隻渣男嗎",0,0,0,0,0,0,0,1,K8,
conv1,P15,1066,你不考慮我嗎,0,0,0,1,0,0,0,0,K4,
conv1,P8,1067,趁人在忙,0,1,0,0,0,0,0,0,K2,
conv1,P9,1068,我幫她照顧其他小姊姊（？,1,0,0,0,0,0,0,0,K1,
conv1,P15,1069,已截圖,0,0,0,0,0,0,0,1,K8,
conv1,P15,1070,不用謝,0,0,0,0,0,0,0,1,K8,
conv1,P8,1071,泡泡現在跟我睡覺會被我傳染感冒,0,0,0,1,0,0,0,0,K4,
conv1,P9,1072,這太精確了 可以模糊點,0,0,0,0,0,0,0,1,K8,
conv1,P3,1073,難怪我覺得最近被窩很擠,0,0,0,1,0,0,0,0,K4,
conv1,P3,1074,卡比獸可以留著  你也可以來,0,0,0,1,0,0,0,0,K4,
conv1,P15,1075,"""天女蕊"" 姊姊來我被窩裡 我可以把泡泡踢出去",0,0,0,0,0,0,0,1,K8,
conv1,P3,1076,我們開放心態,0,0,0,1,0,0,0,0,K4,
conv1,P15,1077,我不要跟臭臭的人睡覺,0,0,0,0,0,0,0,1,K8,
conv1,P3,1078,那泡泡一起(泡泡是誰,0,0,1,0,0,0,0,0,K3,
conv1,P3,1079,我比較喜歡毛毛,0,0,0,1,0,0,0,0,K4,
conv1,P9,1080,我的被窩很大很暖 不擠,0,0,0,1,0,0,0,0,K4,
conv1,P15,1081,他是泡泡,0,0,0,0,0,0,0,1,K8,
conv1,P3,1082,太大的被窩會透風,0,0,0,0,0,0,0,1,K8,
conv1,P3,1083,居然是標準身材的橘貓嗎,1,0,0,0,0,0,0,0,K1,
conv1,P15,1084,沒錯,0,1,0,0,0,0,0,0,K2,
conv1,P8,1085,那我把泡泡帶走,0,0,0,1,0,0,0,0,K4,
conv1,P9,1086,這是沒吃飯的橘貓,0,0,0,0,0,0,0,1,K8,
conv1,P8,1087,跟喵一起睡,0,0,1,0,0,0,0,0,K3,
conv1,P3,1088,這算是橘貓界之恥嗎,1,0,0,0,0,0,0,0,K1,
conv1,P8,1089,我家也是正常身材的橘貓ㄟ,0,0,0,1,0,0,0,0,K4,
conv1,P15,1090,沒錯,0,0,0,0,0,0,0,1,K8,
conv1,P15,1091,飼料白吃了,0,0,0,0,0,0,0,1,K8,
conv1,P3,1092,那也需要檢討了(?,1,0,0,0,0,0,0,0,K1,
conv1,P3,1093,會讓人誤會主人虐待不給食物,0,0,0,0,0,0,0,1,K8,
conv1,P15,1094,欸,0,0,0,0,0,0,0,1,K8,
conv1,P8,1095,他自己挑食的,0,0,0,0,0,0,0,1,K8,
conv1,P15,1096,我讓他吃把費,0,0,0,1,0,0,0,0,K4,
conv1,P8,1097,跟主人一樣,0,0,0,0,0,0,0,1,K8,
conv1,P15,1098,但是泡泡是一隻很長的貓,0,0,0,0,1,0,0,0,K5,
conv1,P9,1099,長臉貓,0,0,0,0,0,0,0,1,K8,
conv1,P9,1100,看來有很大的發福空間,0,0,0,0,0,0,0,1,K8,
conv1,P15,1101,好想我家小寶,0,0,0,1,0,0,0,0,K4,
conv1,P15,1102,想回家把他叫起來重睡,0,0,0,1,0,0,0,0,K4,
conv1,P9,1103,我看成我家小賀,0,0,0,1,0,0,0,0,K4,
conv1,P9,1104,害我抖了好大下,0,0,0,1,0,0,0,0,K4,
conv1,P15,1105,眼睛壞了要看醫生,0,0,0,0,0,0,0,1,K8,
conv1,P3,1106,醫生都說他沒救了,0,0,0,0,0,0,0,1,K8,
conv1,P8,1107,小賀是誰為什麼要這麼害怕,1,0,0,0,0,0,0,0,K1,
conv1,P15,1108,他本人,0,0,0,0,0,0,0,1,K8,
conv1,P15,1109,"""雨繧（鹹魚秒傷19九靈）"" 午餐吃啥",1,0,0,0,0,0,0,0,K1,
conv1,P8,1110,我喝一碗蛋花湯,0,0,0,1,0,0,0,0,K4,
conv1,P8,1111,40$,0,0,0,1,0,0,0,0,K4,
conv1,P15,1112,我在說鹹魚啦,0,0,0,1,0,0,0,0,K4,
